record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
,,,,,Language of cataloging varies,,,,Koninklijke harmonie Poldergalm Dudzele - Brugge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[1992],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00672nas  2200217u  4500,9924088220101480,021109q19761999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002408822LBS01-Aleph^$ $ $a9473337^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924088220101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$4$aHet deeeffertje.,Het deeeffertje.,^$ $ $aNinove$ $ $bDavidsfonds$ $ $c[1976]-[1999],Ninove,^$ $ $aMonthly$ $ $bLater on Bimonthly,Monthly$ $ $bLater on Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Ninove$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Davidsfonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1976]-[1999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00672nas  2200217u  4500,9924088230101480,021109q19769999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002408823LBS01-Aleph^$ $ $a9473339^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924088230101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKabouterkrantje.,Kabouterkrantje.,^$ $ $aBrugge$ $ $bKSA Frassatie$ $ $c1976-?,Brugge,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA Frassatie Brugge$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KSA Frassatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00753nas  2200229u  4500,9924088270101480,021109q19761977be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002408827LBS01-Aleph^$ $ $a9473347^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924088270101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aOns waver.,Ons waver.,^$ $ $aOnze-Lieve-Vrouw Waver$ $ $bCVP$ $ $c1976-[1977],Onze-Lieve-Vrouw Waver,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Onze-Lieve-Vrouw Waver$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,^$ $ $aVoortzetting van: CVP informatie,^$1$8$w(BeLVLBS)002408828LBS01-Aleph$ $ $tCVP informatie$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[1977],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00635nas  2200205u  4500,9924101300101480,021114q19782005be tr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002410130LBS01-Aleph^$ $ $a9478528^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924101300101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aDe muze.,De muze.,^$ $ $aEke$ $ $bKoninklijke Fanfare Sint-Cecilia Eke$ $ $c1978-[2005],Eke,^$ $ $aThree times a year,Three times a year,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Koninklijke Fanfare Sint-Cecilia Eke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[2005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00663nas  2200181u  4500,9924228770101480,021221q19761984be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002422877LBS01-Aleph^$ $ $a9533263^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924228770101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,"^$0$0$aBlikker$ $ $bNieuwsblad voor Ere-, Steunende- en Leden van het Majorettenkorps Mariaburg ""The Rimboe Girls"".",Blikker,"^$ $ $aMariaburg$ $ $bMajorettenkorps Mariaburg ""The Rimboe Girls""$ $ $c1974-[1984]",Mariaburg,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,"Nieuwsblad voor Ere-, Steunende- en Leden van het Majorettenkorps Mariaburg ""The Rimboe Girls"".",,"Majorettenkorps Mariaburg ""The Rimboe Girls""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1974-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00737nas  2200217u  4500,9924228790101480,021221d19789999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002422879LBS01-Aleph^$ $ $a9533267^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924228790101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aInformatieblad van en voor demo.,Informatieblad van en voor demo.,^$ $ $aHouthalen$ $ $bParadekorps demo$ $ $c[1978]-?,Houthalen,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,^$ $ $aVoortzetting van: Informatieblad van demo,,,,^$1$8$w(BeLVLBS)002422878LBS01-Aleph$ $ $tInformatieblad van demo$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Paradekorps demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00634nas  2200193u  4500,9924253820101480,030110d19799999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002425382LBS01-Aleph^$ $ $a9547929^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924253820101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKoninklijke harmonie Ste Cecilia - De Sicambers.,Koninklijke harmonie Ste Cecilia - De Sicambers.,^$ $ $aLaarne$ $ $bKoninklijke harmonie Sinte Cecilia$ $ $c[1979]-?,Laarne,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Koninklijke harmonie Sinte Cecilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00681nas  2200229u  4500,9924255810101480,030110d19762015be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002425581LBS01-Aleph^$ $ $a9548790^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924255810101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aSprokkels$ $ $bmaandblad.,Sprokkels,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,^$ $1$c[1976]-2015^$ $1$aBrasschaat$ $ $bDavidsfonds$ $ $3[1976]-2015,^$ $ $aKADOC$ $ $bphysical$ $ $c202012,,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,maandblad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00682nas  2200193u  4500,9924438960101480,030110d19762015be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002443896LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924438960101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aAllegro$ $ $binformatieblaadje voor de koorleden van het Don Bosco-koor.,Allegro,^$ $ $aHalle$ $ $bTechnische school Don Bosco. Saviokoor$ $ $c[1979]-?,Halle,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,informatieblaadje voor de koorleden van het Don Bosco-koor.,,Technische school Don Bosco. Saviokoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00689nas  2200205u  4500,9924441900101480,030310q19791981be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002444190LBS01-Aleph^$ $ $a9634024^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924441900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aInfo intersoc : aan de direkties.,Info intersoc : aan de direkties.,^$ $ $aS.l.$ $ $bInfo intersoc$ $ $c1979-[1981],S.l.,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amutualiteiten$ $ $6(ODIS-TW)2447,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Info intersoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00725nas  2200217u  4500,9924575940101480,030423q19791994be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002457594LBS01-Aleph^$ $ $a9694595^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924575940101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aSpermalie echo.,Spermalie echo.,^$ $ $aBrugge$ $ $bKoninklijk instituut Spermalie$ $ $c1979-[1994],Brugge,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",^$2$ $aKoninklijk instituut Spermalie Brugge$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Koninklijk instituut Spermalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1994],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00708nas  2200217u  4500,9924589920101480,030428d19769999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002458992LBS01-Aleph^$ $ $a9700602^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924589920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aACW Bilzen. Kontaktblad.,ACW Bilzen. Kontaktblad.,^$ $ $aBilzen$ $ $bACW$ $ $c[1976]-?,Bilzen,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aACW. Bilzen$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,ACW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1976]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00691nas  2200217u  4500,9924589950101480,030428d19779999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002458995LBS01-Aleph^$ $ $a9700608^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924589950101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aACWeetjes.,ACWeetjes.,^$ $ $aIzegem$ $ $bACW$ $ $c1977-?,Izegem,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aACW Izegem$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,ACW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00836nas  2200229u  4500,9924590360101480,030428d19779999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002459036LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924590360101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aChiro Kester nieuwsjes$ $ $bgroepsblad van Chiro Heije en Castrum (Kester)$ $ $614986744,Chiro Kester nieuwsjes,,,^$ $ $aEight times a year,Eight times a year,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,,^$ $1$c1978-^$ $1$aGooik$ $ $bChiro Heije & Castrum$ $ $3[1993]-,^$ $ $aKADOC$ $ $bphysical$ $ $c202109$ $ $9local,,^$ $ $aPeriodiciteit varieert,,^$1$0$aCastrumse Heije nieuwsjes$ $ $bgroepsblad van Chiro Heije en Castrum-Kester$ $ $g[1993]-2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,groepsblad van Chiro Heije en Castrum (Kester)$ $ $614986744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00677nas  2200229u  4500,9924681320101480,030528q19771995be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002468132LBS01-Aleph^$ $ $a9742626^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924681320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aChirona.,Chirona.,^$ $ $aGenk$ $ $bChiro$ $ $c1977-[1995],Genk,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aChiro Genk$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Chiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9924828040101480,030717q19761996be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002482804LBS01-Aleph^$ $ $a9809232^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924828040101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aChirokrant.,Chirokrant.,^$ $ $aGeraardsbergen$ $ $bChiro$ $ $c[1976]-[1996],Geraardsbergen,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aChiro Geraardsbergen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Chiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1976]-[1996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00706nas  2200205u  4500,9924916300101480,030825q1977    be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002491630LBS01-Aleph^$ $ $a9846081^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924916300101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aContact Evere.,Contact Evere.,^$ $ $aS.l.$ $ $bAalmoezeniersdienst van het Kwartier Koningin Albert Iste$ $ $c[1000]-[1977],S.l.,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aAalmoezeniersdienst van het Kwartier Koningin Albert Iste$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Aalmoezeniersdienst van het Kwartier Koningin Albert Iste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1000]-[1977],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00690nas  2200205u  4500,9924920940101480,030827q19781979mx ur|p||     0|||a|spa c,^$ $ $a(BeLVLBS)002492094LBS01-Aleph^$ $ $a9848375^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924920940101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aFichas informativas.,Fichas informativas.,^$ $ $aS.l.$ $ $bSecretariado Latinoamericano de Pax Romana MIIC$ $ $c1978-[1979],S.l.,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aSecretariado Latinoamericano de Pax Romana MIIC$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Secretariado Latinoamericano de Pax Romana MIIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1979],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00743nas  2200229u  4500,9924921240101480,030827q19761994be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002492124LBS01-Aleph^$ $ $a9848486^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924921240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aPrikkeling : tijdschrift van en voor Chiroleden.,Prikkeling : tijdschrift van en voor Chiroleden.,^$ $ $aErps-Kwerps$ $ $bChiro$ $ $c1976-[1994],Erps-Kwerps,^$ $ $aOther,Other,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aChiro Erps-Kwerps$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,^$ $ $aTitel op kaft: Prik2eling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Chiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[1994],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00821nas  2200229u  4500,9924921450101480,030827q19771989be ar|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002492145LBS01-Aleph^$ $ $a9848553^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924921450101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCamillabloem.,Camillabloem.,^$ $ $aAntwerpen$ $ $bCamillapersoneelsgroep Sint-Camillusziekenhuis$ $ $c1977-[1989],Antwerpen,^$ $ $aAnnual,Annual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,^$2$ $aCamillapersoneelsgroep Sint-Camillusziekenhuis Antwerpen$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,^$ $ $aFrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Camillapersoneelsgroep Sint-Camillusziekenhuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00711nas  2200205u  4500,9924962480101480,030915q19771984be er|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002496248LBS01-Aleph^$ $ $a9868769^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924962480101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aEcho : halfmaandelijks kontaktblad van de kerkgemeenschap St. Rochus.,Echo : halfmaandelijks kontaktblad van de kerkgemeenschap St. Rochus.,^$ $ $aBrussel$ $ $bKerkgemeenschap St. Rochus$ $ $c[1977]-[1984],Brussel,^$ $ $aBiweekly,Biweekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aKerkgemeenschap St. Rochus Brussel$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Kerkgemeenschap St. Rochus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
